Jogador,Posição,Nacionalidade
Matt Garbett,Meio-campista,Nova Zelândia
Ryan Thomas,Meio-campista,Nova Zelândia
Sarpreet Singh,Meio-campista,Nova Zelândia
Ben Waine,Atacante,Nova Zelândia
Callum McCowatt,Atacante,Nova Zelândia
Chris Wood,Atacante,Nova Zelândia
Eli Just,Atacante,Nova Zelândia
Jesse Randall,Atacante,Nova Zelândia
Kosta Barbarouses,Atacante,Nova Zelândia
Carlos Coronel,Goleiro,Paraguai
Gastón Olveira,Goleiro,Paraguai
Juan Espínola,Goleiro,Paraguai
Orlando Gill,Goleiro,Paraguai
Roberto Jr. Fernández,Goleiro,Paraguai
Santiago Rojas,Goleiro,Paraguai
Agustín Sandez,Defensor,Paraguai
Alan Benítez,Defensor,Paraguai
Alan Núñez,Defensor,Paraguai
Alcides Benítez,Defensor,Paraguai
Alexandro Maidana,Defensor,Paraguai
Blas Riveros,Defensor,Paraguai
Diego León,Defensor,Paraguai
Fabián Balbuena,Defensor,Paraguai
Gustavo Gómez,Defensor,Paraguai
Gustavo Velázquez,Defensor,Paraguai
José Canale,Defensor,Paraguai
Juan Cáceres,Defensor,Paraguai
Junior Alonso,Defensor,Paraguai
Mateo Gamarra,Defensor,Paraguai
Omar Alderete,Defensor,Paraguai
Ronaldo Dejesús,Defensor,Paraguai
Saúl Salcedo,Defensor,Paraguai
Andrés Cubas,Meio-campista,Paraguai
Braian Ojeda,Meio-campista,Paraguai
Damián Bobadilla,Meio-campista,Paraguai
Diego González,Meio-campista,Paraguai
Diego Gómez,Meio-campista,Paraguai
Enso González,Meio-campista,Paraguai
Hugo Cuenca,Meio-campista,Paraguai
Lucas Romero,Meio-campista,Paraguai
Matías Galarza,Meio-campista,Paraguai
Matías Villasanti,Meio-campista,Paraguai
Mauricio,Meio-campista,Paraguai
Robert Piris da Motta,Meio-campista,Paraguai
Rodney Redes,Meio-campista,Paraguai
Álvaro Campuzano,Meio-campista,Paraguai
Adam Bareiro,Atacante,Paraguai
Adrián Alcaraz,Atacante,Paraguai
Alejandro Romero Gamarra,Atacante,Paraguai
Alex Arce,Atacante,Paraguai
Antonio Sanabria,Atacante,Paraguai
Carlos González,Atacante,Paraguai
Gabriel Ávalos,Atacante,Paraguai
Gustavo Caballero,Atacante,Paraguai
Isidro Pitta,Atacante,Paraguai
Julio Enciso,Atacante,Paraguai
Lorenzo Melgarejo,Atacante,Paraguai
Miguel Almirón,Atacante,Paraguai
Ramón Sosa,Atacante,Paraguai
Robert Morales,Atacante,Paraguai
Ronaldo Martínez,Atacante,Paraguai
Rubén Lezcano,Atacante,Paraguai
Ángel Romero,Atacante,Paraguai
Óscar Romero,Atacante,Paraguai
Diogo Costa,Goleiro,Portugal
José Sá,Goleiro,Portugal
Ricardo Velho,Goleiro,Portugal
Rui Silva,Goleiro,Portugal
Diogo Dalot,Defensor,Portugal
Gonçalo Inácio,Defensor,Portugal
João Cancelo,Defensor,Portugal
Matheus Nunes,Defensor,Portugal
Nelson Semedo,Defensor,Portugal
Nuno Mendes,Defensor,Portugal
Renato Veiga,Defensor,Portugal
Ruben Dias,Defensor,Portugal
Tomás Araújo,Defensor,Portugal
Bernardo Silva,Meio-campista,Portugal
Bruno Fernandes,Meio-campista,Portugal
João Neves,Meio-campista,Portugal
Ruben Neves,Meio-campista,Portugal
Samu Costa,Meio-campista,Portugal
Vitinha,Meio-campista,Portugal
Cristiano Ronaldo,Atacante,Portugal
Francisco Conceição,Atacante,Portugal
Francisco Trincão,Atacante,Portugal
Gonçalo Guedes,Atacante,Portugal
Gonçalo Ramos,Atacante,Portugal
João Félix,Atacante,Portugal
Pedro Neto,Atacante,Portugal
Rafael Leão,Atacante,Portugal
Lionel Mpasi,Goleiro,RD Congo
Matthieu Epolo,Goleiro,RD Congo
Timothy Fayulu,Goleiro,RD Congo
Aaron Tshibola,Defensor,RD Congo
Aaron Wan-Bissaka,Defensor,RD Congo
Arthur Masuaku,Defensor,RD Congo
Axel Tuanzebe,Defensor,RD Congo
Chancel Mbemba,Defensor,RD Congo
Dylan Batubinsika,Defensor,RD Congo
Gedoon Kalulu,Defensor,RD Congo
Joris Kayembe,Defensor,RD Congo
Steve Kapuadi,Defensor,RD Congo
Brian Cipenga,Meio-campista,RD Congo
Charles Pickel,Meio-campista,RD Congo
Edo Kayembe,Meio-campista,RD Congo
Gael Kakuta,Meio-campista,RD Congo
Meshack Elia,Meio-campista,RD Congo
Nathanael Mbuku,Meio-campista,RD Congo
Ngal'ayel Mukau,Meio-campista,RD Congo
Noah Sadiki,Meio-campista,RD Congo
Samuel Moutoussamy,Meio-campista,RD Congo
Theo Bongonda,Meio-campista,RD Congo
Cedric Bakambu,Atacante,RD Congo
Fiston Mayele,Atacante,RD Congo
Simon Banza,Atacante,RD Congo
Yoane Wissa,Atacante,RD Congo
Jindrich Stanek,Goleiro,República Tcheca
Lukas Hornicek,Goleiro,República Tcheca
Matej Kovar,Goleiro,República Tcheca
David Doudera,Defensor,República Tcheca
David Jurásek,Defensor,República Tcheca
David Zima,Defensor,República Tcheca
Jaroslav Zelený,Defensor,República Tcheca
Ladislav Krejčí,Defensor,República Tcheca
Robin Hranac,Defensor,República Tcheca
Tomáš Holeš,Defensor,República Tcheca
Vladimír Coufal,Defensor,República Tcheca
Štěpán Chaloupek,Defensor,República Tcheca
Alexandr Sojka,Meio-campista,República Tcheca
Denis Višinský,Meio-campista,República Tcheca
Hugo Sochůrek,Meio-campista,República Tcheca
Lukas Provod,Meio-campista,República Tcheca
Lukas Červ,Meio-campista,República Tcheca
Michal Sadilek,Meio-campista,República Tcheca
Pavel Bucha,Meio-campista,República Tcheca
Pavel Šulc,Meio-campista,República Tcheca
Tomáš Ladra,Meio-campista,República Tcheca
Tomáš Souček,Meio-campista,República Tcheca
Vladimír Darida,Meio-campista,República Tcheca
Adam Hložek,Atacante,República Tcheca
Christophe Kabongo,Atacante,República Tcheca
Jan Kuchta,Atacante,República Tcheca
Mojmír Chytil,Atacante,República Tcheca
Patrik Schick,Atacante,República Tcheca
Tomáš Chorý,Atacante,República Tcheca
Edouard Mendy,Goleiro,Senegal
Mory Diaw,Goleiro,Senegal
Yehvann Diouf,Goleiro,Senegal
Abdoulaye Seck,Defensor,Senegal
Antoine Mendy,Defensor,Senegal
El-Hadji Malick Diouf,Defensor,Senegal
Ilay Camara,Defensor,Senegal
Ismail Jakobs,Defensor,Senegal
Kalidou Koulibaly,Defensor,Senegal
Krepin Diatta,Defensor,Senegal
Mamadou Sarr,Defensor,Senegal
Moussa Niakhate,Defensor,Senegal
Moustapha Mbow,Defensor,Senegal
Bara Ndiaye,Meio-campista,Senegal
Habib Diarra,Meio-campista,Senegal
Idrissa Gueye,Meio-campista,Senegal
Lamine Camara,Meio-campista,Senegal
Pape Gueye,Meio-campista,Senegal
Pape Matar Sarr,Meio-campista,Senegal
Pathe Ciss,Meio-campista,Senegal
Assane Diao,Atacante,Senegal
Bamba Dieng,Atacante,Senegal
Cherif Ndiaye,Atacante,Senegal
Ibrahim Mbaye,Atacante,Senegal
Iliman Ndiaye,Atacante,Senegal
Ismaila Sarr,Atacante,Senegal
Nicolas Jackson,Atacante,Senegal
Sadio Mane,Atacante,Senegal
Jacob Widell Zetterstrom,Goleiro,Suécia
Kristoffer Nordfeldt,Goleiro,Suécia
Viktor Johansson,Goleiro,Suécia
Carl Starfelt,Defensor,Suécia
Daniel Svensson,Defensor,Suécia
Elliot Stroud,Defensor,Suécia
Emil Holm,Defensor,Suécia
Eric Smith,Defensor,Suécia
Gabriel Gudmundsson,Defensor,Suécia
Gustavo Lagerbielke,Defensor,Suécia
Hjalmar Ekdal,Defensor,Suécia
Isak Hien,Defensor,Suécia
Victor Nilsson Lindelof,Defensor,Suécia
Benjamin Nygren,Meio-campista,Suécia
Besfort Zeneli,Meio-campista,Suécia
Jesper Karlstrom,Meio-campista,Suécia
Lucas Bergvall,Meio-campista,Suécia
Mattias Svanberg,Meio-campista,Suécia
Taha Ali,Meio-campista,Suécia
Yasin Ayari,Meio-campista,Suécia
Alexander Bernhardsson,Atacante,Suécia
Alexandre Isak,Atacante,Suécia
Anthony Elanga,Atacante,Suécia
Gustavo Nilsson,Atacante,Suécia
Ken Sema,Atacante,Suécia
Viktor Gyökeres,Atacante,Suécia
Abdelmouhib Chamakh,Goleiro,Tunísia
Aymen Dahman,Goleiro,Tunísia
Sabri Ben Hessen,Goleiro,Tunísia
Adem Arous,Defensor,Tunísia
Ali Abdi,Defensor,Tunísia
Dylan Bronn,Defensor,Tunísia
Mohamed Amine Ben Hamida,Defensor,Tunísia
Montassar Talbi,Defensor,Tunísia
Moutaz Neffati,Defensor,Tunísia
Omar Rekik,Defensor,Tunísia
Raed Chikhaoui,Defensor,Tunísia
Yan Valery,Defensor,Tunísia
Anis Ben Slimane,Meio-campista,Tunísia
Ellyes Skhiri,Meio-campista,Tunísia
Hannibal Mejbri,Meio-campista,Tunísia
Ismael Gharbi,Meio-campista,Tunísia
Mohamed Hadj Mahmoud,Meio-campista,Tunísia
Mortadha Ben Ouanes,Meio-campista,Tunísia
Rani Khedira,Meio-campista,Tunísia
Elias Achouri,Atacante,Tunísia
Elias Saad,Atacante,Tunísia
Firas Chaouat,Atacante,Tunísia
Hazem Mastouri,Atacante,Tunísia
Khalil Ayari,Atacante,Tunísia
Rayan Elloumi,Atacante,Tunísia
Sebastian Tounekti,Atacante,Tunísia
Alexander Schlager,Goleiro,Áustria
Florian Wiegele,Goleiro,Áustria
Patrick Pentz,Goleiro,Áustria
Alexander Prass,Defensor,Áustria
David Affengruber,Defensor,Áustria
David Alaba,Defensor,Áustria
Kevin Danso,Defensor,Áustria
Marco Friedl,Defensor,Áustria
Michael Svoboda,Defensor,Áustria
Philipp Lienhart,Defensor,Áustria
Phillipp Mwene,Defensor,Áustria
Stefan Posch,Defensor,Áustria
Alessandro Schopf,Meio-campista,Áustria
Carney Chukwuemeka,Meio-campista,Áustria
Christoph Baumgartner,Meio-campista,Áustria
Florian Grillitsch,Meio-campista,Áustria
Konrad Laimer,Meio-campista,Áustria
Marcel Sabitzer,Meio-campista,Áustria
Nicolas Seiwald,Meio-campista,Áustria
Patrick Wimmer,Meio-campista,Áustria
Paul Wanner,Meio-campista,Áustria
Romano Schmid,Meio-campista,Áustria
Xaver Schlager,Meio-campista,Áustria
Marko Arnautović,Atacante,Áustria
Michael Gregoritsch,Atacante,Áustria
Sasa Kalajdzic,Atacante,Áustria
